BBCA: Train=18(M:12/12,T:6/6), Test=6/6, Chunks=8
BBRI: Train=18(M:12/12,T:6/6), Test=6/6, Chunks=8
BMRI: Train=18(M:12/12,T:6/6), Test=6/6, Chunks=8
TLKM: Train=18(M:12/12,T:6/6), Test=6/6, Chunks=8
ASII: Train=18(M:12/12,T:6/6), Test=6/6, Chunks=8
ICBP: Train=18(M:12/12,T:6/6), Test=6/6, Chunks=8
UNVR: Train=18(M:12/12,T:6/6), Test=6/6, Chunks=8
ADRO: Train=18(M:12/12,T:6/6), Test=6/6, Chunks=8
ITMG: Train=18(M:12/12,T:6/6), Test=6/6, Chunks=8
TPIA: Train=18(M:12/12,T:6/6), Test=6/6, Chunks=8
BUMI: Train=18(M:12/12,T:6/6), Test=6/6, Chunks=8
INCO: Train=18(M:12/12,T:6/6), Test=6/6, Chunks=8
BSDE: Train=18(M:12/12,T:6/6), Test=6/6, Chunks=8
KLBF: Train=18(M:12/12,T:6/6), Test=6/6, Chunks=8
BRPT: Train=18(M:12/12,T:6/6), Test=6/6, Chunks=8
